62,AssertionError,Make sure you are passing in a row object to fast_distances.,0,,2022-01-25 00:44:50.500644
63,AssertionError,Make sure the length of test row is the same as the length of a row in train_table.,0,,2022-01-25 00:46:51.702600
64,AssertionError,Make sure the length of test row is the same as the length of a row in train_table.,0,,2022-01-25 00:49:44.611506
65,SyntaxError,"unexpected EOF while parsing (3392209768.py, line 1)",0,,2022-01-25 00:51:16.539189
66,AssertionError,Make sure you're not using all the features of the movies table.,0,,2022-01-25 01:01:23.221270
67,AssertionError,Make sure the length of test row is the same as the length of a row in train_table.,0,,2022-01-25 01:02:24.723730
68,TypeError,'numpy.float64' object is not callable,0,,2022-01-25 01:03:49.782774
69,TypeError,'numpy.float64' object is not callable,0,,2022-01-25 01:03:57.913720
70,AttributeError,Attribute (select) not found in row.,0,,2022-01-25 01:05:03.781104
71,AttributeError,'numpy.ndarray' object has no attribute 'with_column',0,,2022-01-25 01:05:23.608563
72,ValueError,invalid __array_struct__,0,,2022-01-25 01:17:46.776900
73,ValueError,"label ""Distance"" not in labels ('dead', 'kill', 'cop', 'gun', 'murder', 'oh', 'well', 'yeah', 'realli', 'love', 'Genre')",0,,2022-01-25 01:18:32.581390
74,TypeError,"Use Table().with_columns() to create a new table,                 not Table.with_columns()",0,,2022-01-25 01:19:38.916823
75,AssertionError,Make sure the length of test row is the same as the length of a row in train_table.,0,,2022-01-25 01:30:00.250000
76,TypeError,classify_feature_row() takes 1 positional argument but 10 were given,0,,2022-01-25 01:30:28.658234
77,NameError,name 'test_my_feature' is not defined,0,,2022-01-25 01:31:10.236483
78,SyntaxError,"cannot assign to function call (2407250167.py, line 2)",0,,2022-01-25 01:33:02.424512
79,AttributeError,module 'numpy' has no attribute 'count_nonzone',0,,2022-01-25 01:35:20.409396
80,AttributeError,'Table' object has no attribute 'row_num',0,,2022-01-25 01:35:47.240312
81,ValueError,The column 'Title' contains non-numerical values. A plot cannot be drawn for this column.,0,,2022-01-25 01:55:32.489615
82,TypeError,only integer scalar arrays can be converted to a scalar index,0,,2022-01-25 02:01:39.614264
83,TypeError,only integer scalar arrays can be converted to a scalar index,0,,2022-01-25 02:02:40.967839
84,TypeError,'numpy.float64' object is not callable,0,,2022-01-25 02:03:07.462104
85,TypeError,'numpy.float64' object is not callable,0,,2022-01-25 02:03:42.856000
86,TypeError,'numpy.float64' object is not callable,0,,2022-01-25 02:03:58.152019
87,TypeError,'numpy.float64' object is not callable,0,,2022-01-25 02:03:59.943902
88,ValueError,shape mismatch: objects cannot be broadcast to a single shape,0,,2022-01-25 02:11:18.407532
